Available Spaces,Precipitation,WindSpeed,DayOfWeek,MinutesPastMidnight,CarparkCodeInt,WeekdayWeekend,TimeOfDay
308,0.0,18.4,6,1416,0,0,2
47,0.0,18.4,6,1416,1,0,2
335,0.0,18.4,6,1416,2,0,2
438,0.0,18.4,6,1416,3,0,2
712,0.0,18.4,6,1416,4,0,2
458,0.0,18.4,6,1416,5,0,2
308,0.0,18.4,6,1421,0,0,2
47,0.0,18.4,6,1421,1,0,2
335,0.0,18.4,6,1421,2,0,2
439,0.0,18.4,6,1421,3,0,2
717,0.0,18.4,6,1421,4,0,2
458,0.0,18.4,6,1421,5,0,2
308,0.0,18.4,6,1426,0,0,2
47,0.0,18.4,6,1426,1,0,2
335,0.0,18.4,6,1426,2,0,2
439,0.0,18.4,6,1426,3,0,2
717,0.0,18.4,6,1426,4,0,2
458,0.0,18.4,6,1426,5,0,2
308,0.0,18.4,6,1431,0,0,2
47,0.0,18.4,6,1431,1,0,2
335,0.0,18.4,6,1431,2,0,2
439,0.0,18.4,6,1431,3,0,2
717,0.0,18.4,6,1431,4,0,2
458,0.0,18.4,6,1431,5,0,2
308,0.0,18.4,6,1436,0,0,2
48,0.0,18.4,6,1436,1,0,2
334,0.0,18.4,6,1436,2,0,2
439,0.0,18.4,6,1436,3,0,2
711,0.0,18.4,6,1436,4,0,2
458,0.0,18.4,6,1436,5,0,2
308,0.0,22.3,0,1,0,1,0
48,0.0,22.3,0,1,1,1,0
335,0.0,22.3,0,1,2,1,0
439,0.0,22.3,0,1,3,1,0
712,0.0,22.3,0,1,4,1,0
458,0.0,22.3,0,1,5,1,0
308,0.0,22.3,0,6,0,1,0
48,0.0,22.3,0,6,1,1,0
335,0.0,22.3,0,6,2,1,0
439,0.0,22.3,0,6,3,1,0
712,0.0,22.3,0,6,4,1,0
458,0.0,22.3,0,6,5,1,0
308,0.0,22.3,0,11,0,1,0
48,0.0,22.3,0,11,1,1,0
335,0.0,22.3,0,11,2,1,0
439,0.0,22.3,0,11,3,1,0
712,0.0,22.3,0,11,4,1,0
458,0.0,22.3,0,11,5,1,0
308,0.0,22.3,0,16,0,1,0
48,0.0,22.3,0,16,1,1,0
336,0.0,22.3,0,16,2,1,0
439,0.0,22.3,0,16,3,1,0
712,0.0,22.3,0,16,4,1,0
458,0.0,22.3,0,16,5,1,0
307,0.0,22.3,0,21,0,1,0
48,0.0,22.3,0,21,1,1,0
336,0.0,22.3,0,21,2,1,0
439,0.0,22.3,0,21,3,1,0
712,0.0,22.3,0,21,4,1,0
458,0.0,22.3,0,21,5,1,0
307,0.0,22.3,0,26,0,1,0
48,0.0,22.3,0,26,1,1,0
337,0.0,22.3,0,26,2,1,0
439,0.0,22.3,0,26,3,1,0
712,0.0,22.3,0,26,4,1,0
458,0.0,22.3,0,26,5,1,0
307,0.0,22.3,0,31,0,1,0
48,0.0,22.3,0,31,1,1,0
337,0.0,22.3,0,31,2,1,0
439,0.0,22.3,0,31,3,1,0
712,0.0,22.3,0,31,4,1,0
458,0.0,22.3,0,31,5,1,0
307,0.0,22.3,0,36,0,1,0
48,0.0,22.3,0,36,1,1,0
337,0.0,22.3,0,36,2,1,0
439,0.0,22.3,0,36,3,1,0
712,0.0,22.3,0,36,4,1,0
458,0.0,22.3,0,36,5,1,0
458,0.0,22.3,0,41,5,1,0
306,0.0,22.3,0,41,0,1,0
48,0.0,22.3,0,41,1,1,0
337,0.0,22.3,0,41,2,1,0
439,0.0,22.3,0,41,3,1,0
712,0.0,22.3,0,41,4,1,0
306,0.0,22.3,0,46,0,1,0
48,0.0,22.3,0,46,1,1,0
337,0.0,22.3,0,46,2,1,0
439,0.0,22.3,0,46,3,1,0
712,0.0,22.3,0,46,4,1,0
458,0.0,22.3,0,46,5,1,0
458,0.0,22.3,0,51,5,1,0
307,0.0,22.3,0,51,0,1,0
48,0.0,22.3,0,51,1,1,0
337,0.0,22.3,0,51,2,1,0
439,0.0,22.3,0,51,3,1,0
712,0.0,22.3,0,51,4,1,0
307,0.0,22.3,0,56,0,1,0
48,0.0,22.3,0,56,1,1,0
337,0.0,22.3,0,56,2,1,0
439,0.0,22.3,0,56,3,1,0
712,0.0,22.3,0,56,4,1,0
458,0.0,22.3,0,56,5,1,0
307,0.0,22.3,0,61,0,1,0
48,0.0,22.3,0,61,1,1,0
337,0.0,22.3,0,61,2,1,0
439,0.0,22.3,0,61,3,1,0
712,0.0,22.3,0,61,4,1,0
458,0.0,22.3,0,61,5,1,0
307,0.0,22.3,0,66,0,1,0
48,0.0,22.3,0,66,1,1,0
337,0.0,22.3,0,66,2,1,0
439,0.0,22.3,0,66,3,1,0
712,0.0,22.3,0,66,4,1,0
458,0.0,22.3,0,66,5,1,0
307,0.0,22.3,0,71,0,1,0
49,0.0,22.3,0,71,1,1,0
337,0.0,22.3,0,71,2,1,0
439,0.0,22.3,0,71,3,1,0
712,0.0,22.3,0,71,4,1,0
458,0.0,22.3,0,71,5,1,0
307,0.0,22.3,0,76,0,1,0
49,0.0,22.3,0,76,1,1,0
337,0.0,22.3,0,76,2,1,0
439,0.0,22.3,0,76,3,1,0
712,0.0,22.3,0,76,4,1,0
458,0.0,22.3,0,76,5,1,0
307,0.0,22.3,0,81,0,1,0
49,0.0,22.3,0,81,1,1,0
337,0.0,22.3,0,81,2,1,0
439,0.0,22.3,0,81,3,1,0
712,0.0,22.3,0,81,4,1,0
458,0.0,22.3,0,81,5,1,0
307,0.0,22.3,0,86,0,1,0
49,0.0,22.3,0,86,1,1,0
337,0.0,22.3,0,86,2,1,0
439,0.0,22.3,0,86,3,1,0
712,0.0,22.3,0,86,4,1,0
458,0.0,22.3,0,86,5,1,0
307,0.0,22.3,0,91,0,1,0
49,0.0,22.3,0,91,1,1,0
337,0.0,22.3,0,91,2,1,0
439,0.0,22.3,0,91,3,1,0
712,0.0,22.3,0,91,4,1,0
458,0.0,22.3,0,91,5,1,0
307,0.0,22.3,0,96,0,1,0
49,0.0,22.3,0,96,1,1,0
337,0.0,22.3,0,96,2,1,0
439,0.0,22.3,0,96,3,1,0
712,0.0,22.3,0,96,4,1,0
458,0.0,22.3,0,96,5,1,0
307,0.0,22.3,0,101,0,1,0
49,0.0,22.3,0,101,1,1,0
337,0.0,22.3,0,101,2,1,0
439,0.0,22.3,0,101,3,1,0
712,0.0,22.3,0,101,4,1,0
458,0.0,22.3,0,101,5,1,0
307,0.0,22.3,0,106,0,1,0
49,0.0,22.3,0,106,1,1,0
337,0.0,22.3,0,106,2,1,0
439,0.0,22.3,0,106,3,1,0
712,0.0,22.3,0,106,4,1,0
458,0.0,22.3,0,106,5,1,0
307,0.0,22.3,0,111,0,1,0
49,0.0,22.3,0,111,1,1,0
337,0.0,22.3,0,111,2,1,0
439,0.0,22.3,0,111,3,1,0
712,0.0,22.3,0,111,4,1,0
458,0.0,22.3,0,111,5,1,0
307,0.0,22.3,0,116,0,1,0
49,0.0,22.3,0,116,1,1,0
337,0.0,22.3,0,116,2,1,0
439,0.0,22.3,0,116,3,1,0
712,0.0,22.3,0,116,4,1,0
458,0.0,22.3,0,116,5,1,0
307,0.0,22.3,0,121,0,1,0
49,0.0,22.3,0,121,1,1,0
337,0.0,22.3,0,121,2,1,0
439,0.0,22.3,0,121,3,1,0
712,0.0,22.3,0,121,4,1,0
458,0.0,22.3,0,121,5,1,0
307,0.0,22.3,0,126,0,1,0
49,0.0,22.3,0,126,1,1,0
337,0.0,22.3,0,126,2,1,0
439,0.0,22.3,0,126,3,1,0
712,0.0,22.3,0,126,4,1,0
458,0.0,22.3,0,126,5,1,0
307,0.0,22.3,0,131,0,1,0
49,0.0,22.3,0,131,1,1,0
337,0.0,22.3,0,131,2,1,0
439,0.0,22.3,0,131,3,1,0
712,0.0,22.3,0,131,4,1,0
458,0.0,22.3,0,131,5,1,0
307,0.0,22.3,0,136,0,1,0
49,0.0,22.3,0,136,1,1,0
337,0.0,22.3,0,136,2,1,0
439,0.0,22.3,0,136,3,1,0
712,0.0,22.3,0,136,4,1,0
458,0.0,22.3,0,136,5,1,0
307,0.0,22.3,0,141,0,1,0
49,0.0,22.3,0,141,1,1,0
337,0.0,22.3,0,141,2,1,0
439,0.0,22.3,0,141,3,1,0
712,0.0,22.3,0,141,4,1,0
458,0.0,22.3,0,141,5,1,0
307,0.0,22.3,0,146,0,1,0
49,0.0,22.3,0,146,1,1,0
337,0.0,22.3,0,146,2,1,0
439,0.0,22.3,0,146,3,1,0
712,0.0,22.3,0,146,4,1,0
458,0.0,22.3,0,146,5,1,0
307,0.0,22.3,0,151,0,1,0
49,0.0,22.3,0,151,1,1,0
337,0.0,22.3,0,151,2,1,0
439,0.0,22.3,0,151,3,1,0
712,0.0,22.3,0,151,4,1,0
458,0.0,22.3,0,151,5,1,0
307,0.0,22.3,0,156,0,1,0
49,0.0,22.3,0,156,1,1,0
337,0.0,22.3,0,156,2,1,0
439,0.0,22.3,0,156,3,1,0
712,0.0,22.3,0,156,4,1,0
458,0.0,22.3,0,156,5,1,0
307,0.0,22.3,0,161,0,1,0
49,0.0,22.3,0,161,1,1,0
337,0.0,22.3,0,161,2,1,0
438,0.0,22.3,0,161,3,1,0
711,0.0,22.3,0,161,4,1,0
458,0.0,22.3,0,161,5,1,0
307,0.0,22.3,0,166,0,1,0
49,0.0,22.3,0,166,1,1,0
